Song Title	Artist Name	Genre(s)
Allahu Allahu	Rahat Fateh Ali Khan	Qawwali, Sufi, Devotional
Dum Mast Qalandar (Reprise)	Rahat Fateh Ali Khan	Qawwali, Sufi, Devotional
Chaap Tilak	Rahat Fateh Ali Khan	Qawwali, Sufi
Halka Halka Suroor	Rahat Fateh Ali Khan	Qawwali, Sufi
Mast Nazron Se	Rahat Fateh Ali Khan	Qawwali, Sufi
Nit Khair Mangan	Rahat Fateh Ali Khan	Qawwali, Sufi
Dam Mast Qalandar	Nusrat Fateh Ali Khan	Qawwali, Sufi, Devotional
Allah Hoo	Nusrat Fateh Ali Khan	Qawwali, Sufi, Devotional
Kinna Sohna Tenu Rab Ne Banaya	Nusrat Fateh Ali Khan	Qawwali, Sufi, Romantic
Afreen Afreen	Nusrat Fateh Ali Khan	Qawwali, Sufi, Romantic
Yeh Jo Halka Halka Suroor Hai	Nusrat Fateh Ali Khan	Qawwali, Sufi, Ghazal
Sanu Ik Pal Chain Na Aave	Nusrat Fateh Ali Khan	Qawwali, Sufi, Sad/Melody
Mast Nazron Se	Nusrat Fateh Ali Khan	Qawwali, Sufi, Romantic
Haq Ali Ali	Nusrat Fateh Ali Khan	Qawwali, Sufi, Devotional
Wohi Khuda Hai	Nusrat Fateh Ali Khan	Qawwali, Sufi, Devotional
Dulhe Ka Sehra Suhana Hai	Nusrat Fateh Ali Khan	Qawwali, Sufi, Wedding
Mera Piya Ghar Aaya	Nusrat Fateh Ali Khan	Qawwali, Sufi
Teri Meri Ek Kahani	Nusrat Fateh Ali Khan	Qawwali, Sufi
Ali Maula Ali	Nusrat Fateh Ali Khan	Qawwali, Sufi, Devotional
Nit Khair Mangan	Nusrat Fateh Ali Khan	Qawwali, Sufi
Unke Dekhne Se	Nusrat Fateh Ali Khan	Qawwali, Sufi
Mitwa	Shafqat Amanat Ali	Bollywood Romantic
Tere Naina	Shafqat Amanat Ali	Bollywood Romantic
Bin Tere	Shafqat Amanat Ali	Bollywood Romantic
Aitbaar	Shafqat Amanat Ali	Pop, Rock
Fanaa	Shafqat Amanat Ali	Bollywood Romantic
Yeh Hausla	Shafqat Amanat Ali	Bollywood, Inspirational
Allah Waariyan	Shafqat Amanat Ali	Bollywood, Punjabi
Dastaan	Shafqat Amanat Ali	Pop, Rock
Teri Jhuki Nazar	Shafqat Amanat Ali	Bollywood Romantic
Manwa Laage	Shafqat Amanat Ali	Bollywood Romantic
Jo Tu Na Mila	Asim Azhar	Pop, Ballad
Tera Woh Pyar	Asim Azhar	Pop, Romantic
Yaad	Asim Azhar	Pop, Ballad
Ehsaan	Asim Azhar	Pop, Ballad
Dard	Asim Azhar	Pop, Ballad
Tum	Asim Azhar	Pop, Ballad
Bully	Asim Azhar	Pop, Upbeat
Mahi Aaja	Asim Azhar	Pop, Romantic
Jannat	Asim Azhar	Pop, Ballad
Humraah	Asim Azhar	Pop, Ballad
Channo	Ali Zafar	Pop, Rock
Rangeen	Ali Zafar	Pop, Rock
Dekha	Ali Zafar	Pop, Romantic
Madhubala	Ali Zafar	Bollywood Romantic
Dhol Bajay Ga	Ali Zafar	Pop, Punjabi
Sayonee	Junoon	Rock, Sufi
Bulbul	Junoon	Rock
Junoon	Junoon	Rock
Azadi	Junoon	Rock
Khwab	Junoon	Rock
Pasoori	Shae Gill	Pop, Folk
Groove Mera	Shae Gill	Pop, Fusion
Agay Dekh	Shae Gill	Pop
Sab Sitaray Humaray	Shae Gill	Pop
Sukoon	Shae Gill	Pop
Woh Humsafar Tha	Quratulain Baloch	OST, Ballad
Tere Ishq Mein	Quratulain Baloch	OST, Ballad
Ranjha Ranjha	Quratulain Baloch	OST, Folk
Rafta Rafta	Quratulain Baloch	Pop
Ankahee	Quratulain Baloch	Pop
Gumaan	Young Stunners	Hip-Hop, Rap
Ghalat Fehmi	Young Stunners	Hip-Hop, Rap
Gandi Baat	Young Stunners	Hip-Hop, Rap
YS Anthem	Young Stunners	Hip-Hop, Rap
Woh Jo Tha	Young Stunners	Hip-Hop, Rap
